id;name;application_id;job_text;type;conf_prop;status;createtime;updatetime;created_by;addjar;description
1;e-tailers Steel;Liaison;Account Agent Sleek;violet;Fantastic AGP;primary;2021-08-28T11:34:44;2021-08-28T20:41:09;XSS;multi-byte plum embrace;Research
2;Handcrafted Grocery program;Cambridgeshire Clothing sensor;driver;transmitting withdrawal Account;Reduced Florida solution;Chief responsive Licensed;2021-08-28T17:44:55;2021-08-29T05:29:07;driver;Zealand Metal Valleys;Buckinghamshire
3;eco-centric state Books;Wooden Slovenia optical;withdrawal GB Cambridgeshire;Account;1080p Accountability;Helena;2021-08-29T07:57:42;2021-08-28T11:30:05;quantifying;utilisation Rubber Chips;lavender
4;B2B systems Games;compelling;withdrawal paradigms Dale;maroon compressing;Supervisor Synergized withdrawal;Organic Marketing frame;2021-08-29T06:02:03;2021-08-28T16:09:27;invoice;contingency revolutionary;redundant
5;Producer gold;RSS withdrawal;Representative online;Virgin;Car multi-byte Supervisor;cross-platform navigate Fully-configurable;2021-08-28T18:09:07;2021-08-28T21:54:46;SDD Account;cohesive intelligence;orange Handcrafted
6;contingency Account;cyan Corporate;Health action-items;methodology maximized;killer;Mobility Gibraltar Chips;2021-08-28T09:41:33;2021-08-29T01:27:11;Plastic paradigm Industrial;Singapore Awesome;Incredible parsing International
7;Buckinghamshire;card Forges;Chilean Division Intelligent;circuit;and;Towels Public-key;2021-08-28T17:03:40;2021-08-28T21:03:54;Directives;Granite Kansas;Dollar
8;Wells Japan;encoding;Synergized input;Chicken paradigms;communities;Concrete Administrator Metal;2021-08-29T08:41:40;2021-08-29T05:18:45;Rustic Malta;bus;calculating Plastic pixel
9;Granite;hack index;calculate supply-chains;unleash;orange bleeding-edge;Bedfordshire;2021-08-29T00:46:01;2021-08-28T17:45:27;input;function azure;online Sleek Cheese
10;teal Silver;firmware 24/7;Chief invoice Accounts;system Account;robust Human transmitter;integrate;2021-08-29T04:36:09;2021-08-28T17:33:10;Shoes Internal;Steel Berkshire;Coordinator Operations Avon
